	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
2	7	40	216	1,144	6,016	31,552	165,312	865,792	4,533,760	23,739,904	124,305,408	650,874,880	3,408,031,744	17,844,699,136	93,436,084,224	489,237,741,568
3	40	1,135	28,942	707,239	16,963,938	403,490,839	9,560,192,914	226,115,020,735								
4	216	28,942	3,329,245	358,911,148	37,502,829,018											
5	1,144	707,239	358,911,148	167,176,484,530												
6	6,016	16,963,938	37,502,829,018													
7	31,552	403,490,839														
8	165,312	9,560,192,914														
9	865,792	226,115,020,735														
10	4,533,760															
11	23,739,904															
12	124,305,408															
13	650,874,880															
14	3,408,031,744															
15	17,844,699,136															
16	93,436,084,224															
17	489,237,741,568															
